     acronym                                                               name
        SCsg                        Superior colliculus, superficial gray layer
        SCzo                                   Superior colliculus, zonal layer
         SOC                                           Superior olivary complex
        SOCl                             Superior olivary complex, lateral part
        SOCm                              Superior olivary complex, medial part
         POR                       Superior olivary complex, periolivary region
         SUV                                        Superior vestibular nucleus
         SSs                                    Supplemental somatosensory area
        SSs1                           Supplemental somatosensory area, layer 1
      SSs2/3                         Supplemental somatosensory area, layer 2/3
        SSs4                           Supplemental somatosensory area, layer 4
        SSs5                           Supplemental somatosensory area, layer 5
       SSs6a                          Supplemental somatosensory area, layer 6a
       SSs6b                          Supplemental somatosensory area, layer 6b
         SCH                                            Suprachiasmatic nucleus
         SGN                                            Suprageniculate nucleus
          SG                                                Supragenual nucleus
         SUM                                            Supramammillary nucleus
         Su3                                Supraoculomotor periaqueductal gray
          SO                                                 Supraoptic nucleus
         SUT                                            Supratrigeminal nucleus
          TT                                                       Taenia tecta
         TTd                                          Taenia tecta, dorsal part
         TTv                                         Taenia tecta, ventral part
         TRN                                        Tegmental reticular nucleus
         TEa                                         Temporal association areas
        TEa1                                Temporal association areas, layer 1
      TEa2/3                              Temporal association areas, layer 2/3
        TEa4                                Temporal association areas, layer 4
        TEa5                                Temporal association areas, layer 5
       TEa6a                               Temporal association areas, layer 6a
       TEa6b                               Temporal association areas, layer 6b
          TH                                                           Thalamus
       DORpm                     Thalamus, polymodal association cortex related
       DORsm                             Thalamus, sensory-motor cortex related
         TRS                                       Triangular nucleus of septum
          IV                                                  Trochlear nucleus
          TU                                                    Tuberal nucleus
          TM                                           Tuberomammillary nucleus
         TMd                              Tuberomammillary nucleus, dorsal part
         TMv                             Tuberomammillary nucleus, ventral part
         UVU                                                         Uvula (IX)
          OV                            Vascular organ of the lamina terminalis
         VAL                   Ventral anterior-lateral complex of the thalamus
        AUDv                                              Ventral auditory area
       AUDv1                                     Ventral auditory area, layer 1
     AUDv2/3                                   Ventral auditory area, layer 2/3
       AUDv4                                     Ventral auditory area, layer 4
       AUDv5                                     Ventral auditory area, layer 5
      AUDv6a                                    Ventral auditory area, layer 6a
      AUDv6b                                    Ventral auditory area, layer 6b
         VCO                                           Ventral cochlear nucleus
        VENT                               Ventral group of the dorsal thalamus
          VM                             Ventral medial nucleus of the thalamus
         LGv                     Ventral part of the lateral geniculate complex
          VP                          Ventral posterior complex of the thalamus
         VPL                     Ventral posterolateral nucleus of the thalamus
       VPLpc Ventral posterolateral nucleus of the thalamus, parvicellular part
         VPM                      Ventral posteromedial nucleus of the thalamus
       VPMpc  Ventral posteromedial nucleus of the thalamus, parvicellular part
         PMv                                      Ventral premammillary nucleus
         VTA                                             Ventral tegmental area
         VTN                                          Ventral tegmental nucleus
        VLPO                                     Ventrolateral preoptic nucleus
         VMH                                  Ventromedial hypothalamic nucleus
        VMPO                                      Ventromedial preoptic nucleus
        VERM                                                     Vermal regions
         VNC                                                  Vestibular nuclei
        VeCB                                        Vestibulocerebellar nucleus
        VISC                                                      Visceral area
       VISC1                                             Visceral area, layer 1
     VISC2/3                                           Visceral area, layer 2/3
       VISC4                                             Visceral area, layer 4
       VISC5                                             Visceral area, layer 5
      VISC6a                                            Visceral area, layer 6a
      VISC6b                                            Visceral area, layer 6b
         VIS                                                       Visual areas
          Xi                                           Xiphoid thalamic nucleus
          ZI                                                       Zona incerta
         alv                                                             alveus
         amc                                                  amygdalar capsule
         aco                                anterior commissure, olfactory limb
         act                                 anterior commissure, temporal limb
         arb                                                        arbor vitae
          ar                                                 auditory radiation
         bic                                brachium of the inferior colliculus
         bsc                                brachium of the superior colliculus
           c                                 central canal, spinal cord/medulla
         cpd                                                   cerebal peduncle
         cbc                                              cerebellar commissure
         cbp                                               cerebellar peduncles
         cbf                                    cerebellum related fiber tracts
          AQ                                                  cerebral aqueduct
        epsc                                            cerebral nuclei related
        mfbc                                                   cerebrum related
        cett                                              cervicothalamic tract
        chpl                                                     choroid plexus
        cing                                                    cingulum bundle
      cVIIIn                                                     cochlear nerve
          fx                                              columns of the fornix
         stc                             commissural branch of stria terminalis
          cc                                                    corpus callosum
          fa                                  corpus callosum, anterior forceps
         ccb                                              corpus callosum, body
          ee                                   corpus callosum, extreme capsule
          fp                                 corpus callosum, posterior forceps
         ccs                                          corpus callosum, splenium
         cst                                                corticospinal tract
          cm                                                     cranial nerves
        tspc                                        crossed tectospinal pathway
         cuf                                                   cuneate fascicle
        tspd                                         direct tectospinal pathway
         dtd                                        doral tegmental decussation
         das                                              dorsal acoustic stria
          dc                                                      dorsal column
          df                                                      dorsal fornix
         dhc                                      dorsal hippocampal commissure
        lotd                                                        dorsal limb
         drt                                                       dorsal roots
        sctd                                       dorsal spinocerebellar tract
       mfbse                                                epithalamus related
          ec                                                   external capsule
          em                          external medullary lamina of the thalamus
         eps                                       extrapyramidal fiber systems
        VIIn                                                       facial nerve
          fr                                             fasciculus retroflexus
fiber tracts                                                       fiber tracts
          fi                                                            fimbria
         fxs                                                      fornix system
          V4                                                   fourth ventricle
         ccg                                            genu of corpus callosum
       gVIIn                                           genu of the facial nerve
         hbc                                               habenular commissure
          hc                                            hippocampal commissures
     mfsbshy                                               hypothalamus related
         icp                                       inferior cerebellar peduncle
         cic                                     inferior colliculus commissure
         int                                                   internal capsule
        lfbs                                    lateral forebrain bundle system
          ll                                                  lateral lemniscus
         lot                                      lateral olfactory tract, body
        lotg                                   lateral olfactory tract, general
         V4r                                                     lateral recess
          VL                                                  lateral ventricle
          mp                                                mammillary peduncle
      mfbsma                                                 mammillary related
         mtg                                            mammillotegmental tract
         mtt                                             mammillothalamic tract
         mct                                   medial corticohypothalamic tract
         mfb                                            medial forebrain bundle
        mfbs                                     medial forebrain bundle system
          ml                                                   medial lemniscus
         mlf                                       medial longitudinal fascicle
         mcp                                         middle cerebellar peduncle
         moV                                 motor root of the trigeminal nerve
         nst                                                nigrostriatal tract
        IIIn                                                   oculomotor nerve
          In                                                    olfactory nerve
         onl                       olfactory nerve layer of main olfactory bulb
         och                                                       optic chiasm
         IIn                                                        optic nerve
          or                                                    optic radiation
         opt                                                        optic tract
        fxpo                                             postcommissural fornix
          pc                                               posterior commissure
       VISpm                                          posteromedial visual area
      VISpm1                                 posteromedial visual area, layer 1
    VISpm2/3                               posteromedial visual area, layer 2/3
      VISpm4                                 posteromedial visual area, layer 4
      VISpm5                                 posteromedial visual area, layer 5
     VISpm6a                                posteromedial visual area, layer 6a
     VISpm6b                                posteromedial visual area, layer 6b
          pm                                         principal mammillary tract
          py                                                            pyramid
         pyd                                              pyramidal decussation
        root                                                               root
        rust                                                  rubrospinal tract
          sV                               sensory root of the trigeminal nerve
          ts                                                     solitary tract
        sptV                               spinal tract of the trigeminal nerve
          sm                                                   stria medullaris
          st                                                   stria terminalis
         SEZ                                                  subependymal zone
         scp                                       superior cerebelar peduncles
        dscp                           superior cerebellar peduncle decussation
         csc                                     superior colliculus commissure
        scwm                               supra-callosal cerebral white matter
         sup                                             supraoptic commissures
         tsp                                                tectospinal pathway
       lfbst                                                   thalamus related
          V3                                                    third ventricle
          tb                                                     trapezoid body
          Vn                                                   trigeminal nerve
         IVn                                                    trochlear nerve
          uf                                                  uncinate fascicle
          Xn                                                        vagus nerve
         vhc                                     ventral hippocampal commissure
        sctv                                      ventral spinocerebellar tract
         vtd                                      ventral tegmental decussation
          VS                                                ventricular systems
      vVIIIn                                                   vestibular nerve
       VIIIn                                            vestibulocochlear nerve
         von                                                  vomeronasal nerve
